station,event_id,model,horizon_hours,severe_hours,event_MAE,event_mean_residual,prediction_at_peak,residual_at_peak,abs_error_at_peak,underpredicted_peak,predicted_severe_at_first_severe_hour,predicted_severe_hours
Aotizhongxin,19,B0,12,16,141.1875,132.0625,128.0,197.0,197.0,true,false,4
Aotizhongxin,19,B0,24,16,158.5,158.5,156.0,169.0,169.0,true,false,0
Aotizhongxin,20,B3_R2,1,1,164.953941,164.953941,100.046059,164.953941,164.953941,true,false,0
Aotizhongxin,20,B3_R2,6,1,23.527863,23.527863,241.472137,23.527863,23.527863,true,false,0
Aotizhongxin,20,B3_R2,12,1,81.743469,81.743469,183.256531,81.743469,81.743469,true,false,0
Aotizhongxin,20,B3_R2,24,1,187.502403,187.502403,77.497597,187.502403,187.502403,true,false,0
Aotizhongxin,20,GRU_R1,1,1,131.208923,131.208923,133.791077,131.208923,131.208923,true,false,0
Aotizhongxin,20,GRU_R1,6,1,11.83667,11.83667,253.16333,11.83667,11.83667,true,true,1
Aotizhongxin,20,GRU_R1,12,1,10.785645,10.785645,254.214355,10.785645,10.785645,true,true,1
Aotizhongxin,20,GRU_R1,24,1,136.381851,136.381851,128.618149,136.381851,136.381851,true,false,0
Aotizhongxin,20,B0,1,1,125.0,125.0,140.0,125.0,125.0,true,false,0
Aotizhongxin,20,B0,6,1,11.0,-11.0,276.0,-11.0,11.0,false,true,1
Aotizhongxin,20,B0,12,1,47.0,-47.0,312.0,-47.0,47.0,false,true,1
Aotizhongxin,20,B0,24,1,158.0,158.0,107.0,158.0,158.0,true,false,0
Aotizhongxin,21,B3_R2,1,7,16.558463,10.749573,341.195862,21.804138,21.804138,true,true,7
Aotizhongxin,21,B3_R2,6,7,96.024341,96.024341,262.269073,100.730927,100.730927,true,false,3
Aotizhongxin,21,B3_R2,12,7,119.716854,119.716854,123.04454,239.95546,239.95546,true,false,0
Aotizhongxin,21,B3_R2,24,7,198.895993,198.895993,108.956299,254.043701,254.043701,true,false,0
Aotizhongxin,21,GRU_R1,1,7,33.553768,33.553768,303.936829,59.063171,59.063171,true,true,7
Aotizhongxin,21,GRU_R1,6,7,98.089554,98.089554,246.19014,116.80986,116.80986,true,false,3
Aotizhongxin,21,GRU_R1,12,7,107.90593,107.90593,119.716187,243.283813,243.283813,true,true,4
Aotizhongxin,21,GRU_R1,24,7,65.045096,65.045096,269.189392,93.810608,93.810608,true,false,5
Aotizhongxin,21,B0,1,7,22.857143,12.857143,341.0,22.0,22.0,true,false,6
Aotizhongxin,21,B0,6,7,97.285714,97.285714,238.0,125.0,125.0,true,false,2
Aotizhongxin,21,B0,12,7,72.0,66.857143,197.0,166.0,166.0,true,true,5
