model,station,horizon_hours,lag_hours,acf,n_pairs
B3_R2,Tiantan,6,72,0.041295,8416
B3_R2,Tiantan,6,168,0.035528,8324
B3_R2,Tiantan,12,1,0.941503,8558
B3_R2,Tiantan,12,2,0.860175,8534
B3_R2,Tiantan,12,3,0.778753,8522
B3_R2,Tiantan,12,6,0.56559,8506
B3_R2,Tiantan,12,12,0.256652,8487
B3_R2,Tiantan,12,24,0.188098,8462
B3_R2,Tiantan,12,48,0.165381,8441
B3_R2,Tiantan,12,72,0.140626,8416
B3_R2,Tiantan,12,168,0.033522,8324
B3_R2,Tiantan,24,1,0.965931,8558
B3_R2,Tiantan,24,2,0.916404,8534
B3_R2,Tiantan,24,3,0.867166,8522
B3_R2,Tiantan,24,6,0.741532,8506
B3_R2,Tiantan,24,12,0.558912,8487
B3_R2,Tiantan,24,24,0.286459,8462
B3_R2,Tiantan,24,48,0.220846,8441
B3_R2,Tiantan,24,72,0.184431,8416
B3_R2,Tiantan,24,168,0.041687,8324
B3_R2,Wanliu,1,1,0.17301,8583
B3_R2,Wanliu,1,2,-0.050874,8567
B3_R2,Wanliu,1,3,-0.026058,8563
B3_R2,Wanliu,1,6,-0.050993,8549
B3_R2,Wanliu,1,12,-0.005416,8536
B3_R2,Wanliu,1,24,0.009916,8518
B3_R2,Wanliu,1,48,-0.002307,8491
B3_R2,Wanliu,1,72,-0.00664,8466
B3_R2,Wanliu,1,168,-0.008733,8375
B3_R2,Wanliu,6,1,0.867635,8583
B3_R2,Wanliu,6,2,0.678159,8567
B3_R2,Wanliu,6,3,0.494904,8563
B3_R2,Wanliu,6,6,0.022247,8549
B3_R2,Wanliu,6,12,0.059882,8536
B3_R2,Wanliu,6,24,0.07331,8518
B3_R2,Wanliu,6,48,0.035706,8491
B3_R2,Wanliu,6,72,0.034972,8466
B3_R2,Wanliu,6,168,0.013003,8375
B3_R2,Wanliu,12,1,0.93932,8583
B3_R2,Wanliu,12,2,0.854222,8567
B3_R2,Wanliu,12,3,0.775561,8563
B3_R2,Wanliu,12,6,0.569245,8549
B3_R2,Wanliu,12,12,0.251808,8536
B3_R2,Wanliu,12,24,0.176426,8518
B3_R2,Wanliu,12,48,0.137233,8491
B3_R2,Wanliu,12,72,0.116012,8466
B3_R2,Wanliu,12,168,-0.000788,8375
B3_R2,Wanliu,24,1,0.966308,8583
B3_R2,Wanliu,24,2,0.917297,8567
B3_R2,Wanliu,24,3,0.869864,8563
B3_R2,Wanliu,24,6,0.742567,8549
B3_R2,Wanliu,24,12,0.561062,8536
B3_R2,Wanliu,24,24,0.291361,8518
B3_R2,Wanliu,24,48,0.182538,8491
B3_R2,Wanliu,24,72,0.159512,8466
B3_R2,Wanliu,24,168,0.026468,8375
B3_R2,Wanshouxigong,1,1,0.203178,8468
B3_R2,Wanshouxigong,1,2,0.026795,8447
B3_R2,Wanshouxigong,1,3,0.07084,8443
B3_R2,Wanshouxigong,1,6,0.02093,8422
B3_R2,Wanshouxigong,1,12,0.0059,8382
B3_R2,Wanshouxigong,1,24,0.014093,8336
B3_R2,Wanshouxigong,1,48,0.007121,8294
B3_R2,Wanshouxigong,1,72,0.002179,8272
B3_R2,Wanshouxigong,1,168,-0.006187,8186
B3_R2,Wanshouxigong,6,1,0.857351,8468
B3_R2,Wanshouxigong,6,2,0.682488,8447
B3_R2,Wanshouxigong,6,3,0.522429,8443
B3_R2,Wanshouxigong,6,6,0.104773,8422
B3_R2,Wanshouxigong,6,12,0.080354,8382
B3_R2,Wanshouxigong,6,24,0.060489,8336
B3_R2,Wanshouxigong,6,48,0.063605,8294
B3_R2,Wanshouxigong,6,72,0.035502,8272
B3_R2,Wanshouxigong,6,168,0.037703,8186
B3_R2,Wanshouxigong,12,1,0.935532,8468
B3_R2,Wanshouxigong,12,2,0.855257,8447
B3_R2,Wanshouxigong,12,3,0.781066,8443
B3_R2,Wanshouxigong,12,6,0.578954,8422
B3_R2,Wanshouxigong,12,12,0.275473,8382
B3_R2,Wanshouxigong,12,24,0.204526,8336
B3_R2,Wanshouxigong,12,48,0.182775,8294
B3_R2,Wanshouxigong,12,72,0.139739,8272
B3_R2,Wanshouxigong,12,168,0.043987,8186
B3_R2,Wanshouxigong,24,1,0.961269,8468
B3_R2,Wanshouxigong,24,2,0.912178,8447
B3_R2,Wanshouxigong,24,3,0.865788,8443
B3_R2,Wanshouxigong,24,6,0.74093,8422
B3_R2,Wanshouxigong,24,12,0.556532,8382
B3_R2,Wanshouxigong,24,24,0.31456,8336
B3_R2,Wanshouxigong,24,48,0.247915,8294
B3_R2,Wanshouxigong,24,72,0.19107,8272
B3_R2,Wanshouxigong,24,168,0.050978,8186
GRU_R1,Aotizhongxin,1,1,0.583724,8511
GRU_R1,Aotizhongxin,1,2,0.424485,8487
GRU_R1,Aotizhongxin,1,3,0.375686,8484
GRU_R1,Aotizhongxin,1,6,0.252473,8470
GRU_R1,Aotizhongxin,1,12,0.149199,8439
GRU_R1,Aotizhongxin,1,24,0.095768,8389
GRU_R1,Aotizhongxin,1,48,0.067699,8360
GRU_R1,Aotizhongxin,1,72,0.061825,8333
GRU_R1,Aotizhongxin,1,168,-0.008686,8242
GRU_R1,Aotizhongxin,6,1,0.870616,8511
GRU_R1,Aotizhongxin,6,2,0.677612,8487
GRU_R1,Aotizhongxin,6,3,0.483922,8484
GRU_R1,Aotizhongxin,6,6,-0.019893,8470
GRU_R1,Aotizhongxin,6,12,-0.019345,8439
GRU_R1,Aotizhongxin,6,24,0.042243,8389
GRU_R1,Aotizhongxin,6,48,0.067867,8360
GRU_R1,Aotizhongxin,6,72,0.069898,8333
GRU_R1,Aotizhongxin,6,168,0.016603,8242
GRU_R1,Aotizhongxin,12,1,0.926164,8511
GRU_R1,Aotizhongxin,12,2,0.815302,8487
GRU_R1,Aotizhongxin,12,3,0.703924,8484
GRU_R1,Aotizhongxin,12,6,0.382993,8470
GRU_R1,Aotizhongxin,12,12,-0.133477,8439
GRU_R1,Aotizhongxin,12,24,0.003778,8389
GRU_R1,Aotizhongxin,12,48,0.063773,8360
GRU_R1,Aotizhongxin,12,72,0.094029,8333
GRU_R1,Aotizhongxin,12,168,0.041015,8242
GRU_R1,Aotizhongxin,24,1,0.95331,8511
GRU_R1,Aotizhongxin,24,2,0.885586,8487
GRU_R1,Aotizhongxin,24,3,0.819178,8484
GRU_R1,Aotizhongxin,24,6,0.639877,8470
GRU_R1,Aotizhongxin,24,12,0.334363,8439
GRU_R1,Aotizhongxin,24,24,-0.254031,8389
GRU_R1,Aotizhongxin,24,48,-0.085883,8360
